Date,Daily_Returns,Cumulative_Returns,Volatility_21d
2022-01-03,,,
2022-01-04,-0.02740402551029475,-0.02740402551029475,
2022-01-05,-0.05058743991329129,-0.07660516592970168,
2022-01-06,-0.0045611602436269605,-0.08081691773603361,
2022-01-07,-0.0036086203813879836,-0.0841339005409184,
2022-01-10,-0.015320187627054338,-0.09816514102588991,
2022-01-11,-0.0025979166275368337,-0.10050803280131104,
2022-01-12,-0.009306679306569032,-0.10887931607886414,
2022-01-13,-0.012791281396136722,-0.12027789150481716,
2022-01-14,-0.023669907862330586,-0.1411008327573533,
2022-01-18,-0.0007047698372362188,-0.14170615898365324,
2022-01-19,-0.014752843233495572,-0.1543684334684422,
2022-01-20,-0.013790962576767485,-0.16603050675621223,
2022-01-21,-0.01407813402528646,-0.17777124105509845,
2022-01-24,0.045463420693056644,-0.14038990908125648,
2022-01-25,-0.0030626269826645736,-0.14302257414027497,
2022-01-26,-0.03004235112626996,-0.16876819087523987,
2022-01-27,-0.030339749247443093,-0.19398755553058356,
2022-01-28,0.03782110542708228,-0.16350327389276542,
2022-01-31,0.024169290528139875,-0.14328574149364182,
2022-02-01,-0.00943333809136182,-0.15136741674182264,
2022-02-02,0.0037224587272193244,-0.14820841697607057,0.022222672696892164
2022-02-03,-0.005779298842171099,-0.1531311750856118,0.02174403536246074
2022-02-04,-0.0004663739958445934,-0.1535261326834434,0.019253090676417898
2022-02-07,3.104103126494451e-05,-0.15349985726166304,0.019271974040657575
2022-02-08,-0.010044878276569524,-0.1620028481565684,0.019320898858212185
2022-02-09,0.025036888989899753,-0.14102200649201224,0.020133459242042916
2022-02-10,-0.02519142999260182,-0.16266089048065435,0.020754119632901094
2022-02-11,-0.019083277588375913,-0.1786400651432155,0.021006065064852256
2022-02-14,-0.00852537311270729,-0.18564246504769855,0.020933910265355602
2022-02-15,-0.0009373146715923042,-0.1864057743131311,0.02041815333813822
2022-02-16,-0.01692242898217322,-0.2001737648176234,0.02065690925882245
2022-02-17,-0.025836706371076934,-0.22083864040391443,0.02110486825602902
2022-02-18,-0.017433573446706596,-0.23442220719326856,0.02120684226747089
2022-02-22,0.021525224611203653,-0.21794297324575418,0.021764430684702362
2022-02-23,-0.019287586466877227,-0.23302696577130566,0.019104593967023235
2022-02-24,0.03758362249350666,-0.20420134079015506,0.021272418330523207
2022-02-25,0.015117319172419208,-0.19217099846189656,0.02070968659729918
2022-02-28,-0.011340107804156396,-0.20133186642666268,0.0197644307388472
2022-03-01,0.04383798232410663,-0.1663198669042475,0.020378034494720875
2022-03-02,0.014051502983051467,-0.15460540802714173,0.019892732731103025
2022-03-03,0.01522688441894271,-0.14173268228677183,0.02006283581596213
2022-03-04,0.014937371212129902,-0.12891242476285025,0.020294459187361735
2022-03-07,0.0030220839782690856,-0.12627992495805684,0.020232563861497212
2022-03-08,-0.02109084952943252,-0.14470742359161093,0.020833654028408016
2022-03-09,0.006169216153359081,-0.1394309388133842,0.020866848432225634
2022-03-10,0.007940303557538941,-0.13259775923533612,0.02076005802741246
2022-03-11,-0.02402819564342673,-0.1534398699779762,0.02078073303442335
2022-03-14,-0.0005608289023848467,-0.15391464536649924,0.019997093459728672
2022-03-15,0.004801752533715842,-0.14985195287114794,0.019489376928942995
2022-03-16,0.011233775347041508,-0.14030158069797638,0.019441784961775625
2022-03-17,0.0129198208938468,-0.129194431097871,0.019544823865883174
2022-03-18,0.0016966535948779171,-0.12771697569895346,0.01899021800314605
2022-03-21,-0.009164465728547011,-0.13571098358075373,0.01798903443104475
2022-03-22,-0.014865516762054387,-0.14855908644159355,0.017836253693728574
2022-03-23,-0.006971824965095741,-0.154495183459044,0.017616804735682265
2022-03-24,0.015383116430661925,-0.14148868442350904,0.016950234584626404
2022-03-25,0.011001532310913609,-0.13204374444590927,0.015353307096790357
2022-03-28,0.014894002064068435,-0.11911640218416553,0.015345481405740382
2022-03-29,0.02057583793415807,-0.10099148403664882,0.015305432017201007
2022-03-30,0.006514704683479033,-0.09513470904721488,0.012588894872801678
2022-03-31,0.0032654895709516296,-0.09217988087649243,0.01237588524949891
2022-04-01,0.01888986135554238,-0.07503128469047737,0.012574078130392187
2022-04-04,0.012777978173913018,-0.06321205463469992,0.01248564032662698
2022-04-05,0.015461471040844277,-0.048727934946022344,0.012751926675134488
2022-04-06,0.026402713077025686,-0.023611771554212457,0.012256200318012202
2022-04-07,-0.002161667767641373,-0.025722398516348166,0.012397949857398453
2022-04-08,0.009288067481858064,-0.01667324240770518,0.012411975041811999
2022-04-11,-0.030639598627854148,-0.04680197958036236,0.013267783186506232
2022-04-12,-0.018876502983103283,-0.06479502485630184,0.014267677804205911
2022-04-13,0.00036683698257489183,-0.06445195708513107,0.014301636655855151
2022-04-14,0.0021713343067906177,-0.06242056952389918,0.014230106252188873
2022-04-18,0.0016321327815806974,-0.060890315400083384,0.01409821709561658
2022-04-19,0.01390604098178061,-0.04783101763964992,0.014262386043122287
2022-04-20,0.03092187422306769,-0.018388168127996818,0.015034855860815368
2022-04-21,-0.005133492609146084,-0.023427265211962145,0.014493727454328495
2022-04-22,-0.010265897342718766,-0.033452660654994304,0.014665343011460576
2022-04-25,-0.017523441783693916,-0.05038989668719074,0.015407317571907794
2022-04-26,-0.02428198447051433,-0.0734483144688759,0.016590206383425826
2022-04-27,-0.0066343239472742566,-0.07959535850458233,0.0164994157087763
2022-04-28,0.029724424169403685,-0.05223686053328458,0.01711746588755467
2022-04-29,-0.03376570841468429,-0.08423875434670347,0.018834352537639668
2022-05-02,-0.02659085126309879,-0.10858962542238038,0.01973925713440647
2022-05-03,0.03261508337881458,-0.07951620173079099,0.02062697785486857
2022-05-04,0.008139789043568824,-0.07202365779485664,0.020507476507990986
2022-05-05,-0.026639019119938268,-0.09674403731770986,0.02094789329999048
2022-05-06,-0.0008177125746245961,-0.09748264107649984,0.019902048338568547
2022-05-09,-0.055511717489374224,-0.1475829297343173,0.022895757522854953
2022-05-10,-0.02401760375897366,-0.16805594516534372,0.022930686591290196
2022-05-11,-0.0009195863956831252,-0.16882098960013914,0.02235246965395546
2022-05-12,0.026503971708843777,-0.14679144462351645,0.023247653542659803
2022-05-13,0.03330230489757313,-0.11837763317115091,0.02463377298191598
2022-05-16,-0.01717702484711181,-0.13352128247193962,0.024810241219209623
2022-05-17,-0.009316829119787484,-0.14159411661908117,0.02481305921921515
2022-05-18,-0.032557304118342345,-0.16954149802128804,0.025207283618638
2022-05-19,0.015982702858453823,-0.1562685265478856,0.024302177765138024
2022-05-20,0.02353418732063406,-0.13641199200334897,0.025195096715796426
2022-05-23,0.022901212538140037,-0.11663477948682865,0.025912982057404187
2022-05-24,0.03882074476767117,-0.08234188372464923,0.02731676224613174
2022-05-25,-0.0020457379094593886,-0.08421917172103677,0.026806426190384248
2022-05-26,-0.022837338023153242,-0.1051331680515667,0.027230333594560053
2022-05-27,0.02691680953897002,-0.08104620797326922,0.02707848934327976
2022-05-31,-0.031505351071392185,-0.10999816980945853,0.026946397715617108
2022-06-01,-0.016428557171113467,-0.12461961575913949,0.02655241062271241
2022-06-02,0.014769762141096265,-0.11169045570092051,0.025710947015632767
2022-06-03,-0.019079002688538127,-0.12863851588485675,0.025892669325895238
2022-06-06,0.012471138735195453,-0.11777164592795097,0.0254859752484917
2022-06-07,0.012497534471968663,-0.1067459666607874,0.0256508748626952
2022-06-08,0.0,-0.1067459666607874,0.0223053746711689
2022-06-09,-0.012402382277130974,-0.11782444465284936,0.021752959152592465
2022-06-10,-0.024336897175099126,-0.13929386043371894,0.022550627866644208
2022-06-13,-0.05170037647051595,-0.1837926918797801,0.02464536026443337
2022-06-14,-0.03770635587326521,-0.21456889510612098,0.024456311919756876
2022-06-15,0.014576048911966843,-0.20312041290420768,0.024659533389922716
2022-06-16,-0.0349050168249867,-0.23093550829927478,0.025567064979176272
2022-06-17,0.004022496326410163,-0.22784194920663614,0.024824312649864087
2022-06-21,0.038350822190854617,-0.198229053097423,0.02613236589008544
2022-06-22,0.02803065084348555,-0.17575489162834612,0.0263702359163544
2022-06-23,0.045229903723930986,-0.1384743647317751,0.027829402988043952
2022-06-24,0.005800509654568575,-0.1334770769667435,0.02637224477993457
2022-06-27,-0.010099693434345802,-0.1422286928432126,0.026425430766156433
2022-06-28,-0.029005706740230175,-0.16710895582878627,0.02669248314183903
2022-06-29,0.007047338136319414,-0.1612392910097996,0.025917235002828064
2022-06-30,0.008889627939911549,-0.15378302037626035,0.02526597760717409
2022-07-01,0.03252593689375938,-0.12625902029859093,0.026121209097152424
2022-07-05,-0.01739986554455919,-0.14146199586616692,0.026169569047370743
2022-07-06,0.007452760749422138,-0.13506351752707102,0.025907194403288897
2022-07-07,-0.0024454644892266675,-0.1371786889803952,0.025751281687476056
2022-07-08,-0.0064965255429548785,-0.14278402966643988,0.0255961195646131
2022-07-11,0.000308448243155901,-0.1425196229063853,0.02559719998219674
2022-07-12,-0.018130778730417685,-0.15806640988914478,0.02574779933627654
2022-07-13,0.005118868771122109,-0.15375666232736762,0.025262398696485822
2022-07-14,-0.006405079618013176,-0.15917691828137404,0.022449527601440804
2022-07-15,0.008616253981381439,-0.15193217305587847,0.020587096679377293
2022-07-18,-0.022572252994895847,-0.17107497460249277,0.02120703110717506
2022-07-19,0.029536431934270357,-0.14659148701122593,0.02022551081321783
2022-07-20,-0.02450652722504243,-0.16750556596886834,0.021238546535569443
2022-07-21,0.01803962912138357,-0.1524876751333306,0.020013705610567523
2022-07-22,0.0008424430634352831,-0.15177369425407072,0.019163658820981234
2022-07-25,-0.0011533537754899736,-0.1527519992662727,0.016341576678887162
2022-07-26,0.010672941758402832,-0.1437093706995184,0.016472084843057802
2022-07-27,-0.010498476693698189,-0.1526991179142616,0.016484007628307127
2022-07-28,0.04434271580301119,-0.11512749570029301,0.01784658359252579
2022-07-29,0.003346553397364671,-0.11216622261479425,0.01782326372113896
2022-08-01,-0.008755553479150358,-0.11993969873328647,0.017940392653384343
2022-08-02,0.01598321357447907,-0.1058735069797202,0.01686492145000454
2022-08-03,0.016855302135876604,-0.0908027347921716,0.016627531603789932
2022-08-04,0.007008512381244669,-0.08443061450196876,0.016621683614881873
2022-08-05,-0.0025413469752646467,-0.08675739399044913,0.016623222102015018
2022-08-08,-0.0012158249414752076,-0.0878677371284533,0.01651453261012651
2022-08-09,0.0017100969821923773,-0.0863079024983564,0.016505558173722575
2022-08-10,0.013861163908396534,-0.07364306657307951,0.0159080971648558
2022-08-11,-0.01960843952460445,-0.09180748048037934,0.016766013340449262
2022-08-12,0.019068988020607636,-0.0744891682052542,0.016934024657592247
2022-08-15,0.014541308832069832,-0.061031029372700996,0.01705121520437275
2022-08-16,-0.019992638112174665,-0.07980349620101379,0.01685077918344333
2022-08-17,-0.0036204497223514265,-0.08313502137770157,0.015979535738711286
2022-08-18,-0.006921062274330314,-0.08948070099189898,0.014857563452740134
2022-08-19,0.00034837865084091924,-0.08916349550694591,0.014542497134104302
2022-08-22,-0.015994527307129913,-0.1037318948503908,0.01514991932323718
2022-08-23,-0.015428670941279199,-0.11756012051990794,0.015645287033280268
2022-08-24,-0.00021021020458644735,-0.11774561838750874,0.015525349737079034
2022-08-25,0.01795965943844191,-0.10190063015567519,0.015663668467432643
2022-08-26,-0.025579002008039864,-0.12487311574034254,0.013723463472760567
2022-08-29,0.003451707442348795,-0.12185243376094401,0.013724932262266702
2022-08-30,-0.020517907781432143,-0.13987018454352607,0.01430915955044347
2022-08-31,0.0019407716418902154,-0.13820086898934392,0.013795073701770985
2022-09-01,0.0035355772494289894,-0.13515391158816492,0.013194278599523752
2022-09-02,-0.025091775409922468,-0.15685443540274469,0.013902917146406948
2022-09-06,0.004273916370318709,-0.1532509017716509,0.014013460467443927
2022-09-07,0.023750672824975005,-0.1331400409747867,0.015223689942654852
2022-09-08,0.0062659961001709785,-0.12770829985214038,0.015316034483477584
2022-09-09,0.004738671627940061,-0.12357479592136211,0.014966262092377395
2022-09-12,0.007890643465117808,-0.11665923711213444,0.014595512915614046
2022-09-13,-0.04754333420418455,-0.15865620221829158,0.017005416076809842
2022-09-14,-0.004125542675619931,-0.16212720196090813,0.01644497531171211
2022-09-15,-0.02757580807876603,-0.18523222143405282,0.016862169408442092
2022-09-16,0.013821117599216226,-0.17397122015044075,0.017387992947014486
2022-09-19,-0.00041702231264428846,-0.17431569258252433,0.017406426526310612
2022-09-20,-0.02949094446876166,-0.19866590264130102,0.018191063623508183
2022-09-21,-0.007175147383049918,-0.204415592892913,0.018048120648231202
2022-09-22,-0.016552333815091913,-0.2175843715774315,0.018080660635161457
2022-09-23,-0.001761176931275088,-0.2189623439328784,0.018060894555815894
2022-09-26,-0.028123389655647757,-0.24092777027018786,0.017849928363616534
2022-09-27,-0.007923937169747486,-0.246942610925867,0.01738144515906158
2022-09-28,0.0256851986728881,-0.22760018227541146,0.01867759652889543
2022-09-29,-0.03169719702110152,-0.2520830914768907,0.01926445599947117
2022-09-30,0.008431884660947686,-0.2457767423682513,0.019457031680681195
2022-10-03,0.01503609319682786,-0.23443617117528526,0.019899988976862897
2022-10-04,0.015540157098226759,-0.22253918900662917,0.019885279887662515
2022-10-05,-0.035103467112751585,-0.24983075901678808,0.0209285111478844
2022-10-06,-0.05333423211350363,-0.2898404594397975,0.022252552792574168
2022-10-07,-0.02096860968181513,-0.3047315176576215,0.022098586610392212
2022-10-10,-0.022675295548225338,-0.3204969359801011,0.021962236896793514
2022-10-11,-0.004757269511523332,-0.3237295151895496,0.02156471885824942
2022-10-12,-0.04172698568624089,-0.3519482440292625,0.021123826658406192
2022-10-13,0.021138292650911605,-0.3382495363586159,0.022290165981263516
2022-10-14,-0.030630695086128146,-0.3585194130335191,0.02241382490512543
2022-10-17,0.04560091983568615,-0.3292673082111117,0.02509200453284825
2022-10-18,0.02022608691795802,-0.3157010104882737,0.025860958856544148
2022-10-19,-0.022341894664343,-0.3309895464308611,0.025617892293733294
2022-10-20,-0.01794135110508943,-0.34299249787132013,0.025703030936410694
2022-10-21,0.0009679963820552473,-0.34235651698627645,0.025721661471751964
2022-10-24,-0.003464995672289084,-0.3446352488088281,0.025703938213456123
2022-10-25,0.03743843687419979,-0.3200994169417818,0.027082519718684295
2022-10-26,0.008495734541518418,-0.31432316207349553,0.02722691358864899
2022-10-27,0.0056418377483453686,-0.3104546846061157,0.026471444440105688
2022-10-28,0.037542357841876095,-0.2845675276274092,0.0272864285303703
2022-10-31,-0.0004075731691429718,-0.28485911870748193,0.02718941021974188
2022-11-01,0.021711976110101894,-0.26933199697750154,0.02743861844833693
2022-11-02,-0.026871328221996338,-0.2889660167080297,0.02765388658914591
2022-11-03,0.007266538722780602,-0.28379926073522566,0.026794143283602946
2022-11-04,0.007436201713316715,-0.27847344757082626,0.02410358863392614
2022-11-07,0.017737206667367555,-0.2656755819943968,0.023815253409394395
2022-11-08,0.005845367201333884,-0.2613831861262482,0.02308740596797198
2022-11-09,-0.014456954446940062,-0.27206133575816505,0.023371551463767005
2022-11-10,0.08058831374841446,-0.21339798629464235,0.02649792709154532
2022-11-11,0.003739009078034705,-0.2104568742245977,0.02639079138564902
2022-11-14,-0.028760304147445237,-0.23316437465942286,0.0262539788459456
2022-11-15,0.01993701322252539,-0.2178759626575042,0.02502669292448635
2022-11-16,0.005263737827507331,-0.2137590667763417,0.024862749682487407
2022-11-17,-0.027565668425054923,-0.23543232364379085,0.025194099912618756
2022-11-18,0.009796362999730857,-0.22794234114834466,0.024558173250146993
2022-11-21,0.01699465682236001,-0.21482148618908603,0.024577919294816425
2022-11-22,-0.005277040967626601,-0.21896490537336644,0.024626109105102396
2022-11-23,0.012072220256845512,-0.20953607768270754,0.023751083581608733
2022-11-25,-0.003595201283292604,-0.21237795459061914,0.02387105246183807
2022-11-28,-0.01106087578301318,-0.22108974419885508,0.024190755046773534
2022-11-29,0.0043986238401698685,-0.2176636109783353,0.02309252901154112
2022-11-30,0.01612658776248299,-0.2050471945409934,0.023197966417321424
2022-12-01,0.0063814784541431635,-0.19997422034089607,0.022894951992517863
2022-12-02,-0.019786903281058255,-0.215804253065364,0.02245648090255159
2022-12-05,-0.005859581614998999,-0.22039931204666263,0.02256995761823468
2022-12-06,-0.016489372526276136,-0.23325443821206637,0.02300258184602575
2022-12-07,-0.0033946550213220794,-0.2358572748834662,0.02279354362367245
2022-12-08,0.005456912332247654,-0.23168741502318047,0.022790541894085314
2022-12-09,-0.00373348412382013,-0.23455589786132258,0.022519080681405398
2022-12-12,0.008119637683607683,-0.22834076908490208,0.013864971289526384
2022-12-13,0.03768978363551945,-0.19925709963136073,0.016205143603454743
2022-12-14,-0.02351728291784483,-0.21808839696378568,0.015761323258875973
2022-12-15,-0.019498081819811053,-0.23333417337564544,0.01574720211311501
2022-12-16,-0.02896227166466403,-0.2555385573223542,0.016819393161285053
2022-12-19,-0.010096790272648093,-0.2630552283751434,0.015923893457673928
2022-12-20,0.003243889788474341,-0.26066466075579997,0.0157520679191812
2022-12-21,0.00833440062835189,-0.2545027438398404,0.015339465667727271
2022-12-22,-0.0021020946798251394,-0.2560698496558389,0.01532486158019958
2022-12-23,0.0086402309866771,-0.24964212131891195,0.015182650002838121
2022-12-27,-3.556777119462229e-05,-0.24966880987625495,0.015188120815938457
2022-12-28,-0.013451152370703823,-0.25976162904310096,0.015266620363407837
2022-12-29,0.02221027119420116,-0.24332073407579458,0.01612849686989312
2022-12-30,-0.016076529631700365,-0.25548551071611836,0.0159017982877224
2023-01-03,0.005101583868216464,-0.25168730760793434,0.015866471206770493
2023-01-04,0.03865266759145336,-0.2227630258544383,0.017793444118639392
2023-01-05,-0.03847856830992746,-0.2526699918570996,0.019633918237393664
2023-01-06,0.03582465136694668,-0.2258971548593227,0.020955013535228748
2023-01-09,-0.00020589990212016573,-0.22605654255936813,0.02093568327998783
2023-01-10,0.00837359919997449,-0.21957585024331772,0.02097765036757984
2023-01-11,0.04172487124057733,-0.18701275308168308,0.02274107422626566
2023-01-12,0.0011434836726569308,-0.18608311543875367,0.022715306381010103
2023-01-13,0.0003589672058688098,-0.18579094596889323,0.021261456348365987
2023-01-17,-0.012167726910991994,-0.19569801938680087,0.02074481763135809
2023-01-18,-0.034145675462910474,-0.22316145379099528,0.021711597701121556
2023-01-19,0.006735562431588349,-0.21792900926374015,0.020631204053779682
2023-01-20,0.008014841947731055,-0.2116608338810836,0.02045382033512558
2023-01-23,-0.03551101853216343,-0.2396555606187627,0.02214812523787379
2023-01-24,0.003982235394069056,-0.23662769008057516,0.022101964577234443
2023-01-25,0.014752624350251153,-0.2253659451529504,0.022275254472253838
2023-01-26,-0.0019545476993798605,-0.22688000436271294,0.022241194149137545
2023-01-27,-0.007042627583232819,-0.23232480056913696,0.022320315319340752
2023-01-30,0.004047965958725586,-0.22921727749448295,0.022066263653898955
2023-01-31,0.025258542471373602,-0.20974842936187632,0.022214288467030177
2023-02-01,0.012234225362818929,-0.20008031355336786,0.021899860328109005
2023-02-02,0.02297677531845621,-0.18170073864507363,0.0223026845169028
2023-02-03,-0.033496574955167446,-0.20911096118880712,0.022336252101715418
2023-02-06,-0.006716719324899256,-0.2144231408796412,0.02052657067614045
2023-02-07,-0.00892580011874844,-0.22143504290206373,0.019181565140035262
2023-02-08,-0.0012281068359555336,-0.22239120384811117,0.019184607957115157
2023-02-09,-0.01130573906597776,-0.23118264599281357,0.019256188461910878
2023-02-10,0.00010349650530017129,-0.2311030760834597,0.016655206113634954
2023-02-13,0.007046920545369151,-0.22568472055304112,0.01676953174604961
2023-02-14,-0.014784017544816286,-0.23713221122960426,0.016976609235123383
2023-02-15,0.005083152119698564,-0.23325443821206626,0.016925996708120644
2023-02-16,-0.01763192503805122,-0.2467736384807696,0.015704035834623337
